,number_of_visits,total_quantity,average_quantity,total_spend,average_spend,BAKERY,CASHPOINT,CONFECTIONARY,DAIRY,DELI,DISCOUNT_BAKERY,DRINKS,FROZEN,FRUIT_VEG,GROCERY_FOOD,GROCERY_HEALTH_PETS,LOTTERY,MEAT,NEWSPAPERS_MAGAZINES,PRACTICAL_ITEMS,PREPARED_MEALS,SEASONAL_GIFTING,SOFT_DRINKS,TOBACCO,WORLD_FOODS,cluster_group
191,68,2104,30.94,2365.36,34.78,119.17,0.0,202.78,320.47,19.71,0.0,167.8,46.78,425.85,423.47,145.91,0.0,94.23,34.21,1.61,34.18,0.0,24.22,0.0,3.46,2.0
192,5,109,21.8,132.48,26.5,0.0,0.0,31.37,25.61,6.55,0.7,12.26,5.99,26.92,14.0,32.77,0.0,19.67,0.5,0.0,0.0,0.0,2.24,0.0,0.0,5.0
193,82,963,11.74,970.06,11.83,15.54,0.0,93.54,176.9,13.4,0.0,8.5,27.19,339.91,185.93,35.32,0.0,9.75,15.29,1.52,13.62,2.07,5.72,0.0,2.19,4.0
194,68,738,10.85,1407.43,20.7,12.21,70.0,87.36,58.37,51.51,0.0,384.34,8.43,172.97,122.54,33.81,0.0,54.89,9.58,3.4,31.11,4.65,22.84,0.0,0.59,0.0
195,15,153,10.2,151.19,10.08,10.88,0.0,6.28,35.13,0.0,0.0,0.0,0.82,15.47,9.56,15.71,0.0,1.59,6.5,4.25,19.35,0.0,1.57,0.0,0.99,5.0
196,30,196,6.53,181.34,6.04,0.0,0.0,45.65,13.36,0.0,0.0,0.0,21.43,21.64,15.03,32.04,2.0,8.17,0.5,0.0,7.91,0.0,14.12,0.0,7.31,5.0
197,10,69,6.9,84.46,8.45,0.0,0.0,0.87,10.69,2.45,0.0,8.5,9.02,10.92,6.33,0.63,0.0,1.49,2.03,0.0,0.0,25.53,1.41,0.0,0.89,5.0
198,88,447,5.08,511.63,5.81,8.09,0.0,69.97,146.11,0.0,0.0,0.0,20.66,74.28,39.39,15.59,8.5,5.22,16.33,13.58,1.65,1.44,5.68,0.0,4.95,4.0
199,48,670,13.96,769.18,16.02,15.49,0.0,50.66,182.93,12.15,0.0,0.0,54.04,54.22,98.34,27.78,0.0,58.63,1.4,0.0,34.21,0.0,0.0,0.0,8.67,5.0
200,17,133,7.82,166.05,9.77,9.11,0.0,61.51,9.46,0.0,0.0,0.0,18.55,11.78,32.55,10.0,0.0,2.49,0.0,0.0,25.28,0.84,1.49,0.0,0.0,5.0
201,116,710,6.12,1286.67,11.09,23.64,80.0,79.06,286.11,0.0,0.0,169.71,31.25,121.75,96.87,24.83,0.0,79.69,0.0,0.0,17.0,0.0,0.49,0.0,0.0,4.0
